trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-74.14034270644923,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-46.42430136683915,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-142.90527544271922,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.06876208901912,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-105.44307763322436,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-37.98572727421609,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-112.43481925401669,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-76.20524179728723,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-27.533943621604266,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,2,-150.943902482668,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 4}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-36.2158388880905,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-84.78902580812876,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,14,-14.79962544760912,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,2,-41.95912021446855,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,17.113164916138693,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-18.689234535098933,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,20,0.7566362768996333,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,15,19.447847740568495,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,3.5841941265218065,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,16,17.227212325538865,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,15.767842201864424,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,8,-11.173377402064483,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",30,17,18.13805053785667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,6,-59.184091749895714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,14,11.351633139244012,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,-40.08196447733996,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,11,15.880726667688583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,27.90329436563365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,23.71756231020517,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,1,-29.590637140835696,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
