trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-193.06557141684897,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-111.20615793350805,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-76.73153890759036,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-262.7998107410755,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-91.75798223080427,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-150.81090342675293,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-70.14008458022438,"{0: 20, 1: 0, 2: 1, 3: 4, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-82.9250481854978,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-181.96984735374488,"{0: 17, 1: 2, 2: 5, 3: 5, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-88.16236249493105,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",25,5,-162.59952592931037,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-94.50642817218808,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-142.9632782021478,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-120.7011843751332,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-70.28092758876379,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-91.25808887940418,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-171.72855849236328,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-191.43128571814736,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-84.86235526213865,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-203.56093602799288,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 5}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,15,3.9440222436127987,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-71.33733237488305,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-151.2525284463393,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-79.46040507640205,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-169.50902110481624,"{0: 7, 1: 3, 2: 8, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,10,-90.75291302765031,"{0: 5, 1: 0, 2: 2, 3: 2, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",30,0,-109.52084593442665,"{0: 17, 1: 8, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-206.35572994871313,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",30,0,-78.48732080902163,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-120.52258821589382,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-110.74130501323899,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,8,-53.35005295726339,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
