trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-32,-295.2198545275053,"{0: 29, 1: 8, 2: 16, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,-100,-564.670924321001,"{0: 75, 1: 14, 2: 25, 3: 4, 4: 7}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-17,-186.18724078746277,"{0: 27, 1: 3, 2: 7, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-88,-628.3793419210648,"{0: 63, 1: 11, 2: 21, 3: 3, 4: 10}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-65,-407.377941048513,"{0: 56, 1: 8, 2: 25, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,4,-123.81072334644492,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,-35,-245.87922600412793,"{0: 30, 1: 7, 2: 14, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-29,-227.94729049406314,"{0: 35, 1: 8, 2: 6, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-4,-92.08409195539085,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-15,-230.71708360819218,"{0: 25, 1: 6, 2: 10, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-33,-162.17961085271693,"{0: 41, 1: 6, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-14,-120.06027736658369,"{0: 27, 1: 2, 2: 1, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,-65,-433.06131565423726,"{0: 52, 1: 17, 2: 19, 3: 2, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-74,-465.6450261980767,"{0: 62, 1: 5, 2: 22, 3: 4, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,-3,-236.95512678782288,"{0: 16, 1: 1, 2: 13, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-858.4870969235227,"{0: 65, 1: 13, 2: 22, 3: 7, 4: 13}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-663.8172709538295,"{0: 63, 1: 18, 2: 30, 3: 0, 4: 9}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,20,-69.47633678376113,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-645.2338847052679,"{0: 70, 1: 17, 2: 25, 3: 5, 4: 8}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-77,-520.1135877618237,"{0: 54, 1: 17, 2: 22, 3: 3, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-100,-660.4920349854343,"{0: 69, 1: 13, 2: 21, 3: 10, 4: 7}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,-78,-454.95730676403497,"{0: 57, 1: 14, 2: 20, 3: 1, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-84,-465.19969692329045,"{0: 63, 1: 14, 2: 18, 3: 3, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,16,3.204638741948468,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,-13,-261.08664959701593,"{0: 29, 1: 4, 2: 10, 3: 1, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,-100,-1108.1328959098544,"{0: 75, 1: 15, 2: 19, 3: 5, 4: 21}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,1,-133.84138920255202,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,-100,-574.9357193749825,"{0: 68, 1: 19, 2: 21, 3: 5, 4: 7}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-49,-330.94154890534793,"{0: 43, 1: 7, 2: 11, 3: 4, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.0654057752554,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",1
